Unnamed: 0,prix_eur,prix_m2,type_bien,surface_m2,nb_pieces,nb_chambres,etage,dpe,adresse,code_postal,url,latitude,longitude
8,749000,10686.0,Appartement à vendre,70.1,2.0,1.0,Étage 1/3,C,"Jardin des Plantes, Paris 5ème arrondissement (75005)",75005.0,https://www.seloger.com/annonces/achat/appartement/paris-5eme-75/jardin-des-plantes/263624783.htm,48.849134,2.347541
9,800000,11111.0,Appartement à vendre,72.0,3.0,2.0,,C,"Citroën-Boucicaut, Paris 15ème arrondissement (75015)",75015.0,https://www.seloger.com/annonces/achat/appartement/paris-15eme-75/citroen-boucicaut/268951803.htm,48.842343,2.2863
10,570000,10654.0,Appartement à vendre,53.5,2.0,1.0,Étage 2/6,D,Paris 11ème arrondissement (75011),75011.0,https://www.seloger.com/annonces/achat/appartement/paris-11eme-75/253515285.htm,48.860162,2.381844
11,1400000,16492.0,Appartement à vendre - neuf,84.9,4.0,,3ème étage,,"Saint Lambert, Paris 15ème arrondissement (75015)",75015.0,https://www.selogerneuf.com/annonces/neuf/programme/paris-75/263210755/,48.837454,2.291961
12,349000,17806.0,Appartement à vendre,19.6,2.0,1.0,RDC/3,E,Paris 6ème arrondissement (75006),75006.0,https://www.seloger.com/annonces/achat/appartement/paris-6eme-75/268727019.htm,48.849268,2.330883
13,1990000,16179.0,Appartement à vendre,123.0,5.0,2.0,Étage 2/1,,"Chaillot, Paris 16ème arrondissement (75016)",75016.0,https://www.bellesdemeures.com/258842487/detail.htm,48.867149,2.297238
14,740000,11610.0,Appartement à vendre - neuf,63.7,3.0,2.0,5ème étage,,"Père Lachaise-Réunion, Paris 20ème arrondissement (75020)",75020.0,https://www.selogerneuf.com/annonces/neuf/programme/paris-75/268736811/,48.864045,2.397757
15,1388400,17355.0,Appartement à vendre - Première occupation,80.0,3.0,2.0,Étage 7/9,E,"Porte Dauphine, Paris 16ème arrondissement (75016)",75016.0,https://www.seloger.com/annonces/achat/appartement/paris-75/269851947.htm,48.86963,2.270394
16,1590000,16915.0,Appartement à vendre,94.0,3.0,2.0,1er étage,D,"Odéon, Paris 6ème arrondissement (75006)",75006.0,https://www.bellesdemeures.com/267774373/detail.htm,48.850913,2.338698
17,240000,11538.0,Appartement à vendre,20.8,1.0,,Étage 6/6,D,"Bastille-Popincourt, Paris 11ème arrondissement (75011)",75011.0,https://www.seloger.com/annonces/achat/appartement/paris-11eme-75/bastille-popincourt/270619849.htm,48.858598,2.37658
18,545000,15309.0,Appartement à vendre,35.6,2.0,1.0,Étage 3/4,E,Paris 4ème arrondissement (75004),75004.0,https://www.bellesdemeures.com/269851175/detail.htm,48.854042,2.356841
19,360000,11250.0,Studio à vendre,32.0,1.0,,RDC/6,E,Paris 6ème arrondissement (75006),75006.0,https://www.seloger.com/annonces/achat/appartement/paris-6eme-75/270300707.htm,48.849268,2.330883
20,880000,10753.0,Appartement à vendre - neuf,81.8,4.0,3.0,4ème étage,,"Père Lachaise-Réunion, Paris 20ème arrondissement (75020)",75020.0,https://www.selogerneuf.com/annonces/neuf/programme/paris-75/268736811/,48.864045,2.397757
21,2500000,23050.0,Appartement à vendre - neuf,108.5,5.0,,6ème étage,,"Saint Lambert, Paris 15ème arrondissement (75015)",75015.0,https://www.selogerneuf.com/annonces/neuf/programme/paris-75/263210755/,48.837454,2.291961
22,295000,9219.0,Appartement à vendre,32.0,1.0,,Étage 2/7,C,"Porte Saint Denis-Paradis, Paris 10ème arrondissement (75010)",75010.0,https://www.seloger.com/annonces/achat/appartement/paris-10eme-75/porte-saint-denis-paradis/268099399.htm,48.875079,2.351787
23,1150000,12366.0,Appartement à vendre,93.0,5.0,4.0,Étage 1/8,C,Paris 6ème arrondissement (75006),75006.0,https://www.seloger.com/annonces/achat/appartement/paris-6eme-75/270698411.htm,48.849268,2.330883
24,2550000,20063.0,Duplex à vendre - neuf,127.1,6.0,5.0,,,"Hoche-Friedland, Paris 8ème arrondissement (75008)",75008.0,https://www.selogerneuf.com/annonces/neuf/programme/paris-75/209313613/,48.874378,2.30091
